z,HIIQ50,HIIQ16,HIIQ84
0.01,47805.7491294827,42716.1912997872,53604.7952504463
0.26,116107.923729677,109530.647154845,123814.669388308
0.51,223176.677756243,206593.567005327,242343.371496286
0.76,347509.274534293,318361.25856548,377933.848268441
1.01,458381.511988225,422187.486139122,494696.501554816
1.26,530947.074438723,494374.759617392,576683.81388575
1.51,568773.690353786,525968.97811631,619736.676407932
1.76,574004.491131705,525962.0077413,627406.760828532
2.01,563835.8295649,511466.123116464,616579.762554751
2.26,541396.664470311,489632.098625733,595200.069423072
2.51,511984.804258618,462586.980991413,563643.587240261
2.76,481953.365672711,434893.810981057,531329.033095075
3.01,451736.200867458,408486.942738666,499291.398216423
3.26,422788.352028939,382935.600161366,468227.199740532
3.51,395653.908353258,358035.858994361,438571.005061086
3.76,369015.42588781,334377.907938281,409141.629591272
4.01,344215.193990859,312137.698219363,382334.159601055
4.26,320617.273726599,289477.225717767,357661.036540303
4.51,298545.153561283,267930.809809821,334387.999144321
4.76,277612.23312342,247791.346173354,312564.378987279
5.01,258329.313313915,228975.055026835,292870.46388023
5.26,239912.161167375,211284.760994096,274138.186762391
5.51,222314.909400932,196392.069325758,256893.314002064
5.76,208508.613598782,182854.352177413,240781.198662564
6.01,196049.742317037,169300.727331644,227036.849729526
6.26,183792.961920211,157130.228594816,215647.442081451
6.51,171961.862176204,144631.324488542,204026.70129254
6.76,160714.814717614,132613.663188704,192681.703716124
7.01,149840.943752584,121459.516401358,182502.505534718
7.26,139315.814611745,110964.189639782,172593.951661835
7.51,129520.669148504,101691.773380312,163187.966629324
7.76,120324.79425906,93082.4699305818,153867.317332079
8.01,111609.847981566,84712.0227861229,144741.700879714
8.26,103457.553927613,76778.7336356597,136459.208045641
8.51,95796.7003053269,69645.7434941868,128675.882982137
8.76,88676.0363043518,62943.9292617634,121282.553344521
9.01,81912.4800529199,56825.5885976794,113952.369210305
9.26,75666.6785587142,51314.5237433098,107083.765894955
9.51,69840.5026425723,46294.7557495436,100669.564126325
9.76,64409.5160984651,41702.3820697418,94573.839289555
10.01,59360.6927952475,37599.0110833334,89165.2737822521
10.26,54790.3193203983,33790.7809902529,83850.9994908464
10.51,50340.3086110795,30316.5455121845,78721.7787468125
10.76,46255.9161184221,27220.1750366061,74006.9537267419
11.01,42504.8190014242,24422.3146885768,69462.4642005796
11.26,39031.2223651739,21901.2525083064,65280.3012373521
11.51,35869.0821808731,19655.0868273763,61323.3943557681
11.76,32963.6611120483,17649.3730032693,57554.1745419787
12.01,30281.4207098966,15835.5765596596,53902.6401445196
12.26,27780.0076094331,14172.0664356867,50479.5687118047
12.51,25490.2808058611,12677.5633365519,47314.0269307874
12.76,23361.2093126965,11316.0621360883,44297.1695915662
13.01,21398.2568189402,10109.620188338,41559.0861571072
13.26,19592.0510063152,9050.42537478877,38948.4030808175
13.51,17925.8197983681,8095.30645418906,36448.5773545953
13.76,16404.3822806866,7215.04609836675,34164.2009166175
14.01,15024.1691933425,6429.35761033327,32060.549659948
14.26,13773.0758037138,5743.79527948118,30098.3192574676
14.51,12607.5654894444,5123.40250630609,28234.2798326345
14.76,11492.9550375963,4567.35064176294,26476.0587257853
15.01,10494.9738637139,4073.78587346539,24836.1186222328
15.26,9608.73697557161,3636.79022773517,23321.1295779619
15.51,8988.35532075103,3350.55377662052,22111.0537702428
