z,ZGasMassQ50,ZGasMassQ16,ZGasMassQ84,NeutralGasMassQ50,NeutralGasMassQ16,NeutralGasMassQ84,Metallicity
0.01,5436862.93297882,5027532.16644231,5879689.57996807,266546790.696399,246476764.450108,288260803.522573,0.0199896679834569
0.26,5112552.28988796,4705982.87206947,5555058.50154304,268562284.977903,247465663.935004,291628280.589461,0.0186811193200248
0.51,4358232.90042502,3996798.74371191,4749593.86096351,257125341.598162,236653675.180516,279451387.776391,0.0166673295207251
0.76,3438364.16259947,3141460.51222809,3763118.65001578,238858571.468211,219517000.955658,260025561.011139,0.0141907042845912
1.01,2523940.38536965,2295689.3761269,2779684.77938857,214347325.936246,196603558.783189,233930712.229129,0.0116379658226678
1.26,1757128.15498807,1585138.97976118,1948383.8426969,186498825.120557,170424816.434942,204226556.868906,0.00933371893114162
1.51,1184676.93013204,1057660.43433475,1320647.14122327,158538243.668559,144169357.05962,174085170.810428,0.0074170753057326
1.76,787862.224175864,696649.703625567,883122.744183321,132922129.687263,120276119.230004,146395879.746694,0.00589232123129359
2.01,522368.410752218,458596.233434223,589245.918919688,110549324.905141,99638758.2461336,122161365.833872,0.00470298412815745
2.26,347910.816097717,303464.350014581,395646.807344624,91656400.874921,82301001.765221,101728035.608788,0.00378146208262628
2.51,233604.774837753,202401.828862494,268104.887718653,76005733.7383367,68003540.7215792,84742567.1718276,0.00306409760883989
2.76,158282.928095283,136084.317915887,183757.435364567,63136433.9968768,56256215.6395066,70810447.9465532,0.00250072890416601
3.01,108375.111233343,92303.3327624233,127486.738771357,52576316.3822032,46622886.5690858,59375561.6565915,0.00205705126406299
3.26,74920.344565541,63047.394686346,89399.1124249587,43911969.0644502,38699743.9647834,49954160.3528739,0.00170324261551864
3.51,52373.8397491284,43449.3034681106,63515.9438273891,36808860.1140443,32194648.7142653,42227976.3962014,0.00142083794087796
3.76,36862.1221585261,30068.4122895018,45579.8094727041,30909941.0813055,26792289.9295757,35834089.9739327,0.00119114474978792
4.01,26193.9135711839,20963.2453272625,33061.9726068963,26002024.7763729,22312322.7845218,30476118.9479513,0.00100636597084163
4.26,18808.6989771367,14726.2511901736,24291.4128909236,21977660.6125181,18625483.2075288,26093944.0825854,0.000855078090523706
4.51,13605.6256626247,10416.4128711591,17991.4606034426,18605442.4849625,15567765.7000796,22385563.3304815,0.000730736908878846
4.76,9913.72959345317,7414.48722411418,13431.0021100113,15779287.4391644,13026148.2359122,19248700.8461492,0.00062788037770204
5.01,7291.80251623109,5320.27539540909,10136.4190063692,13423342.7036012,10916124.1110023,16633094.2486944,0.000542923159208137
5.26,5419.30378834934,3856.95802805867,7716.4407030996,11439076.6366038,9156225.7634223,14390315.7617161,0.000473529268267942
5.51,4054.341700687,2810.94890015453,5919.39745091466,9774592.90193686,7688674.06464688,12501738.3515599,0.000414611714654595
5.76,3058.62557419347,2067.45359938782,4570.24168458737,8361792.76817002,6460106.23164833,10865945.6553625,0.000365652111462602
6.01,2334.59999009587,1539.63432123186,3568.12814198559,7177753.00154879,5441348.59543118,9484631.48947038,0.000325149234891717
6.26,1791.16080148891,1153.61929504642,2798.74427452875,6164641.54220011,4585415.24197821,8285906.82454575,0.000290469528779101
6.51,1389.75568549545,875.182093946608,2217.53364750505,5307664.15126921,3868953.50533203,7259664.60529226,0.000261770874783342
6.76,1089.01069180653,672.238810141276,1772.22072880495,4577933.36033694,3270629.78563856,6373682.38981475,0.000237826025637405
7.01,853.501324456152,516.603851947083,1418.05299960153,3952820.10709548,2768340.07207293,5607145.46313105,0.000215875514518572
7.26,684.48020999585,407.541626742942,1155.47923487466,3421142.86232473,2348159.9052625,4941184.7291799,0.000200033532226328
7.51,550.071941689954,322.022624511484,943.875040414687,2967289.71145277,1994511.20484412,4366169.61905845,0.000185344217288175
7.76,441.843562760768,254.365203236532,769.981486817052,2572999.70504014,1693429.99942403,3854500.21711342,0.000171693646199441
