#Growth history of baryons in galaxies
#rho values are in Msun/cMpc^3
#redshift rho_dust
14.33321542 0.19163304680803123
14.07219223 0.29983082974610387
13.81561253 0.4034438005458535
13.56340069 0.6561307066697982
13.31548235 0.8411615259250221
13.07178442 1.2598104866406328
12.83223505 1.9204957836842242
12.59676362 2.661317283057068
12.36530071 3.5505764424432513
12.13777809 4.653417513945711
11.91412866 6.473698116229416
11.69428651 8.69437431724221
11.47818682 11.315030171413518
11.26576587 15.329662250126749
11.05696105 19.982700425079315
10.85171079 25.08867153639695
10.64995458 31.864925424477153
10.45163295 39.82032312319512
10.25668742 48.5237899147205
10.06506052 58.778552284981934
9.87669576 74.2821936161127
9.69153761 90.65613675989114
9.50953148 106.61804359152379
9.3306237 127.48684304343895
9.15476154 146.55275681918602
8.98189315 172.46608052564193
8.81196757 202.93169168735022
8.64493469 233.87203422189015
8.48074528 267.13015387778944
8.31935092 309.2968834859407
8.16070405 354.6807646965752
8.00475788 403.6728766279257
7.85146644 448.9847999907474
7.70078454 512.0012732467395
7.55266776 584.7201117458127
7.40707242 656.3083039024428
7.26395561 729.2023253758589
7.12327514 822.0010037973619
6.98498952 912.5035651304764
6.84905799 1012.8047414803168
6.71544047 1147.0243027791541
6.58409757 1286.3117474267272
6.45499058 1450.0983973521788
6.32808142 1630.6373425500929
6.20333269 1827.8032251212558
6.0807076 2058.8193966970416
5.96017001 2336.0971806280636
5.84168437 2640.872711352848
5.72521576 2970.8613363393006
5.61072984 3360.1747684170614
5.49819286 3797.211172001382
5.38757164 4296.645377094417
5.27883356 4889.784040167756
5.17194657 5528.31236344343
5.06687917 6221.279559844438
4.96360036 7003.909304564388
4.86207971 7910.492748219456
4.76228729 8867.26330914303
4.66419367 9929.407744675133
4.56776993 11094.845952031581
4.47298765 12383.433062971048
4.37981889 13842.532977559165
4.28823618 15380.12052180137
4.19821251 17024.664284394257
4.10972135 18759.25915599279
4.02273661 20610.42394260851
3.93723264 22556.715814780335
3.85318424 24628.733230379126
3.77056663 26757.724061187575
3.68935545 29045.444290262403
3.60952676 31476.99149809063
3.53105702 34019.0533400091
3.4539231 36681.01246084128
3.37810227 39526.22402395783
3.30357216 42468.39371973041
3.2303108 45617.33650304478
3.1582966 48977.2005669357
3.08750833 52437.616673354474
3.01792511 56062.405332437695
2.94952643 59756.68744710941
2.88229214 63636.462960476245
2.81620239 67817.37223231401
2.75123772 72252.47072903182
2.68737896 76890.90447824092
2.6246073 81556.15032346013
2.56290422 86503.59418380035
2.50225154 91625.0228411594
2.44263138 96943.03742569246
2.38402614 102352.86490618617
2.32641857 107995.59282762611
2.26979168 113855.51116676422
2.21412876 119822.71099119191
2.15941342 126144.7248709465
2.10562952 132516.92637741752
2.0527612 138983.18643624175
2.00079288 145859.3002175767
1.94970923 152707.80504289453
1.8994952 159814.98067556566
1.85013599 167219.59887927744
1.80161703 174646.67657170127
1.75392403 182232.76938836917
1.70704293 190034.56036669738
1.6609599 197746.32901053553
1.61566136 205598.7297882831
1.57113396 213540.67012916037
1.52736456 219797.81011051277
1.48434027 225240.5009685081
1.44204839 230011.49907150096
1.40047647 233963.46020912915
1.35961224 237183.51655994722
1.31944366 239815.89349673784
1.27995888 241938.55971434125
1.24114627 243682.222595028
1.20299438 244820.227955438
1.16549196 245595.41059001003
1.12862797 246056.04889809468
1.09239152 246161.49428345432
1.05677194 246258.95604483137
1.02175872 246207.08989471733
0.98734155 246111.4857878477
0.95351027 245975.36736442434
0.92025492 245528.74180300755
0.88756569 244938.82079505365
0.85543293 244307.8703983685
0.82384719 243606.82943506524
0.79279914 243058.04637069855
0.76227964 242475.62581489372
0.73227968 242070.39784762062
0.70279042 241589.7777380301
0.67380316 240941.9420572587
0.64530937 240361.20568000825
0.61730064 239561.36932228005
0.58976871 238694.39574403633
0.56270547 237940.23852417892
0.53610294 237088.7676956084
0.50995327 236367.5564476941
0.48424876 235995.6078269797
0.45898183 235608.15326001457
0.43414502 235310.5533915686
0.40973102 235286.42328516027
0.38573263 235265.38527496217
0.36214277 235378.34727241404
0.3389545 235323.6928884307
0.31616096 235300.44779452396
0.29375545 235524.81070770862
0.27173136 236368.26013655626
0.25008219 236844.04130473535
0.22880156 237381.09605632783
0.2078832 238036.76163078492
0.18732094 238674.30407100116
0.16710872 239133.55018792665
0.14724059 239848.87537227175
0.12771067 240323.47615134058
0.10851322 241188.78472832873
0.08964258 242103.0041974187
0.07109317 242809.6005665784
0.05285954 243545.91112895447
0.03493631 244245.67693779687
0.0173182 244684.6038854872
0.0 245219.9776417247
