z,cdmh,errhi,errlo
0.1,165852.235253361,23740.1450192708,27014.6477805494
0.22,160093.74844426,17331.0629921941,19075.4538324486
0.34,194962.391968933,25822.7939890867,8525.30589654517
0.48,237676.728998169,24136.0997805838,4122.9435155665
0.64,281784.442123311,21948.4460260637,19183.2479977217
0.81,373838.701751485,27032.9849276932,21548.8955509669
1,367545.061959164,35969.3676999432,32654.8082573917
1.2,373908.883717411,33501.4358908513,34812.1651319727
1.43,331271.567587885,32413.6653494629,25498.7384823314
1.68,378846.899268357,25582.7537981652,14372.1423527831
1.96,334818.548938277,20782.9746241782,22800.5286511958
2.27,275029.675924997,14067.6385488195,20827.2575777236
2.61,167881.12409272,14106.1216153247,11708.7781403229
2.98,105394.9587615,10898.6730238858,8943.58434666236
3.4,67723.586677739,9614.29636473813,12199.6169454842
3.85,55441.7697227653,12614.9322313696,16419.2144685336
