z,value,err_neg,err_pos
0.03,10400000,9e+05,9e+05
0.185,9e+05,7e+05,1900000
0.45,1.1e+07,5e+06,1e+07
0.93,4.6e+07,1.8e+07,2.7e+07
1.375,5.5e+07,1.5e+07,2e+07
2.56,2.9e+07,1.1e+07,1.5e+07
3.74,2.4e+07,7e+06,9e+06
0.98,4.1e+07,1.2e+07,1.1e+07
1.51,4.8e+07,1.1e+07,1.2e+07
2.51,3.7e+07,1.1e+07,1e+07
3.64,1.5e+07,7e+06,7e+06
4.75,1e+07,6e+06,7e+06
2.4,2.7e+07,1.1e+07,1.6e+07
5.8,4700000,2300000,3400000
2.4,2.8e+07,1.2e+07,1.8e+07
0.45,2e+07,1.4e+07,1.6e+07
0.8,3e+07,9e+06,9e+06
1.3,5.1e+07,5500000,5500000
1.95,3.3e+07,3500000,3500000
2.75,4.2e+07,4500000,4500000
0.35,4.3e+07,5e+06,6e+06
0.65,4.7e+07,7e+06,8e+06
0.95,5.9e+07,9e+06,1e+07
1.3,8.4e+07,1.3e+07,1.4e+07
1.75,9e+07,1.3e+07,1.6e+07
2.25,7.4e+07,1.1e+07,1.2e+07
2.75,6.3e+07,9e+06,1.1e+07
3.5,3.6e+07,5e+06,6e+06
0.4,2.3e+07,5e+06,6e+06
0.85,6e+07,1.7e+07,1.8e+07
1.5,4.8e+07,7e+06,9e+06
