lbt,z,csmh,err_pois,err_cv,err_AGN,err
0.85,0.05,199526231.496888,4594261.26306014,36754090.1044811,0,37040118.4658145
1.52,0.1,213796208.950223,0,24614198.1833712,0,24614198.1833712
2.16,0.17,186208713.666287,0,12862842.2482076,0,12862842.2482076
2.9,0.24,190546071.796324,0,17549941.7778716,0,17549941.7778716
3.65,0.32,199526231.496888,0,18377045.0522406,0,18377045.0522406
3.65,0.31,151356124.843621,0,13940414.2719307,3485103.56798267,14369450.1270095
4.35,0.405,151356124.843621,0,20910621.407896,3485103.56798267,21199057.3975336
5.11,0.505,123026877.081238,0,19829589.7243409,5665597.06409739,20623084.6075071
5.86,0.62,194984459.975804,4489683.10905781,40407147.9815203,4489683.10905781,40902959.7564772
6.59,0.75,169824365.246175,3910350.51843018,27372453.6290112,7820701.03686035,28735090.4567448
7.36,0.91,194984459.975804,0,31427781.7634047,0,31427781.7634047
8.11,1.1,120226443.461741,0,19378213.1549088,2768316.16498697,19574951.3273062
8.82,1.325,104712854.80509,0,14466615.511143,4822205.170381,15249151.6830443
9.5,1.6,93325430.079699,0,10744487.2049387,4297794.88197546,11572166.8733485
10.21,1.975,83176377.1102671,1915206.86023352,13406448.0216347,13406448.0216347,19056067.6539277
10.78,2.4,56234132.5190349,1294838.75255782,6474193.76278908,19422581.2883672,20514103.8355687
11.29,2.925,34673685.0452532,2395173.30913112,3991955.51521853,18362995.3700052,18943921.5310635
11.69,3.5,21379620.8950223,1476851.89100227,1969135.8546697,6399691.52767652,6856722.18859109
11.95,4,21379620.8950223,3938271.70933939,1969135.8546697,4430555.67300682,6246383.24491395
12.19,4.625,12882495.5169313,593260.842756975,889891.264135463,3559565.05654185,3716768.52672952
