z,csmh,errhi,errlo
0.35,8.2648042486985,0.0774953201540584,0.0785486564511877
0.65,8.14512272716573,0.0638292525975457,0.0602932556036619
0.95,8.21668698089504,0.0541507273835036,0.057296067583906
1.3,7.95950961762375,0.0699646030763934,0.0649643305148367
1.75,7.84700704867149,0.067928369127256,0.0598224532715894
2.25,7.67917148122409,0.0570698108635246,0.0549658558854847
2.75,7.42961081366869,0.0748198021461018,0.0730644802013953
3.25,7.40382110240197,0.0771098051509443,0.074812777099627
4,7.02642124820618,0.0807952377725746,0.0811853248947312
5,6.61055136742388,0.103616950007868,0.0752557908044466
6,6.12619544553063,0.194378401785991,0.125671566729551
7,5.87227382705314,0.21651444945017,0.132445161112939
8,5.66669668588894,0.147571573818522,0.119929873636839
9.25,5.22950121158664,0.217240716091159,0.161910838491516
11,4.10760593407989,0.521446020443113,0.366506459458984
