zmin,zmax,CSMDQ50,CSMDERR,z
0.02,0.08,8.5196,0.021,0.05
0.08,0.14,8.4876,0.022,0.11
0.14,0.2,8.4578,0.023,0.17
0.2,0.28,8.4262,0.024,0.24
0.28,0.36,8.3971,0.025,0.32
0.36,0.45,8.3701,0.026,0.405
0.45,0.56,8.3419,0.027,0.505
0.56,0.68,8.311,0.028,0.62
0.68,0.82,8.2725,0.028,0.75
0.82,1,8.2144,0.029,0.91
1,1.2,8.1284,0.029,1.1
1.2,1.45,8.0039,0.028,1.325
1.45,1.75,7.8402,0.027,1.6
1.75,2.2,7.6388,0.026,1.975
2.2,2.6,7.494,0.024,2.4
2.6,3.25,7.3953,0.023,2.925
3.25,3.75,7.3452,0.024,3.5
3.75,4.25,7.3182,0.024,4
