zlo,zhi,logrho,logerr_hi,logerr_lo,z,logerr,rho,err
0.02,0.08,8.419,0.083,0.089,0.05,0.086,262421854.338445,51965383.8892979
0.08,0.14,8.51,0.054,0.059,0.11,0.0565,323593656.929628,42098259.0807979
0.14,0.2,8.449,0.053,0.055,0.17,0.054,281190083.039894,34963061.0492926
0.2,0.28,8.443,0.037,0.04,0.24,0.0385,277332010.465184,24585351.2946272
0.28,0.36,8.409,0.043,0.049,0.32,0.046,256448403.651772,27162736.4830518
0.36,0.45,8.247,0.037,0.053,0.405,0.045,176603782.068616,18299035.6180904
0.45,0.56,8.129,0.061,0.071,0.505,0.066,134586035.405595,20453122.724106
0.56,0.68,8.125,0.076,0.101,0.62,0.0885,133352143.216332,27174337.152353
0.68,0.82,8.097,0.062,0.075,0.75,0.0685,125025903.021772,19719970.4667195
0.82,1,8.124,0.061,0.069,0.91,0.065,133045441.797809,19912649.3133388
1,1.2,8.006,0.057,0.065,1.1,0.061,101391138.573668,14241165.1787267
1.2,1.45,7.947,0.056,0.063,1.325,0.0595,88511560.9830836,12126421.3521983
1.45,1.75,7.844,0.052,0.055,1.6,0.0535,69823240.4077172,8601406.45914318
1.75,2.2,7.983,0.077,0.077,1.975,0.077,96161227.8383664,17049294.5503362
2.2,2.6,7.896,0.035,0.044,2.4,0.0395,78704578.9695098,7158347.61627986
2.6,3.25,7.613,0.053,0.048,2.925,0.0505,41020410.2986607,4769875.75574088
3.25,3.75,7.459,0.099,0.075,3.5,0.087,28773984.1473567,5764145.58584629
3.75,4.25,7.051,0.164,0.159,4,0.1615,11246049.7396693,4182040.31742957
4.25,5,7.006,0.047,0.052,4.625,0.0495,10139113.8573668,1155635.53499504
