Mdust,phi,phierr,z,zmin,zmax
316227766.016838,0.0001318,8.98e-05,2,1.6,2.4
562341325.190349,0.0001241,7.21e-05,2,1.6,2.4
1e+09,5.85e-05,3.12e-05,2,1.6,2.4
1778279410.03892,2.93e-05,2.17e-05,2,1.6,2.4
199526231.496888,6.91e-05,3.71e-05,3.3,2.4,4.2
398107170.553497,6.27e-05,2.73e-05,3.3,2.4,4.2
794328234.724282,3.16e-05,2.47e-05,3.3,2.4,4.2
1584893192.46111,1.48e-05,1.1e-05,3.3,2.4,4.2
3162277660.16838,6.9e-06,6.1e-06,3.3,2.4,4.2
151356124.843621,2.64e-05,2.34e-05,5.7,4.2,7.2
295120922.666639,3.18e-05,1.73e-05,5.7,4.2,7.2
616595001.861481,1.28e-05,9.5e-06,5.7,4.2,7.2
1122018454.30197,8.2e-06,5.5e-06,5.7,4.2,7.2
