Mdust,phi,z
696780.895072404,0.0078804628156699,0.05
1224238.71328869,0.0161026202756094,0.05
2059716.89516696,0.00406626241529033,0.05
3515807.63236921,0.00489390091847748,0.05
5915160.41924101,0.0105435899083468,0.05
10096808.0601048,0.00588999522259428,0.05
16743620.5146003,0.00320440297624516,0.05
29846636.5764733,0.00266248614403985,0.05
50946337.7818284,0.00215443469003188,0.05
86962205.1627117,0.000588999522259429,0.05
152791930.585413,8.76049680627433e-05,0.05
249740823.680864,4.76607551933584e-05,0.05
17234618.4679939,0.00621016941891561,0.15
52440312.6101497,0.00266248614403985,0.15
89512326.5489585,0.00156820306686182,0.15
146309311.468714,0.000588999522259429,0.15
253376125.225536,0.000221221629107045,0.15
432497163.575417,7.6746304292743e-06,0.15
51687927.7938414,0.00133794044270869,0.25
89512326.5489585,0.00209816230553424,0.25
249740823.680864,0.000558632806643162,0.25
432497163.575417,0.000233247013616108,0.25
738245548.329703,3.75588809068008e-05,0.25
84484734.3189689,0.00320440297624516,0.35
148439033.226426,0.0015272426579169,0.35
253376125.225536,0.00183809441766779,0.35
432497163.575417,0.000452035365636024,0.35
717213632.015167,0.000105435899083468,0.35
1260138876.10985,1.98998853689599e-05,0.35
253376125.225536,0.000973880672847496,0.45
432497163.575417,0.000489390091847749,0.45
748991669.619104,0.00015272426579169,0.45
1260138876.10985,2.15443469003188e-05,0.45
