# Data for producing curves of Fig. 6b of Peroux & Howk ARAA 2020
# col1: redshift
# col2: lookback time in Gyr
# col3: accretion rate of condensed matter in Msun cMpc^-3 yr^-1
# col4: accretion rate of baryonic matter in Msun cMpc^-3 yr^-1


  	  z 	 lookback_time 	 Cond_Acc_Rate 	 Baryon_Acc_Rate
	 0.0 	           0.0 	       -0.0015 	            0.47
	 0.1 	           1.3 	        0.0003 	            0.62
	 0.2 	          2.43 	        0.0021 	            0.79
	 0.3 	          3.42 	        0.0041 	            0.98
	 0.4 	          4.28 	        0.0061 	            1.18
	 0.5 	          5.04 	         0.008 	             1.4
	 0.6 	          5.71 	        0.0098 	            1.61
	 0.7 	           6.3 	        0.0115 	            1.82
	 0.8 	          6.83 	        0.0131 	            2.04
	 0.9 	           7.3 	        0.0146 	            2.24
	 1.0 	          7.71 	         0.016 	            2.44
	 1.1 	          8.09 	        0.0173 	            2.63
	 1.2 	          8.43 	        0.0185 	            2.81
	 1.3 	          8.74 	        0.0196 	            2.98
	 1.4 	          9.01 	        0.0206 	            3.14
	 1.5 	          9.27 	        0.0216 	             3.3
	 1.6 	           9.5 	        0.0225 	            3.45
	 1.7 	          9.71 	        0.0234 	             3.6
	 1.8 	           9.9 	        0.0241 	            3.74
	 1.9 	         10.08 	        0.0249 	            3.87
	 2.0 	         10.24 	        0.0255 	             4.0
	 2.1 	         10.39 	        0.0262 	            4.13
	 2.2 	         10.53 	        0.0267 	            4.25
	 2.3 	         10.66 	        0.0273 	            4.36
	 2.4 	         10.78 	        0.0278 	            4.47
	 2.5 	         10.89 	        0.0283 	            4.57
	 2.6 	          11.0 	        0.0288 	            4.66
	 2.7 	         11.09 	        0.0292 	            4.74
	 2.8 	         11.19 	        0.0296 	            4.81
	 2.9 	         11.27 	          0.03 	            4.88
	 3.0 	         11.35 	        0.0303 	            4.93
	 3.1 	         11.43 	        0.0307 	            4.98
	 3.2 	          11.5 	         0.031 	            5.01
	 3.3 	         11.57 	        0.0313 	            5.04
	 3.4 	         11.63 	        0.0316 	            5.06
	 3.5 	         11.69 	        0.0319 	            5.07
	 3.6 	         11.75 	        0.0321 	            5.07
	 3.7 	          11.8 	        0.0324 	            5.07
	 3.8 	         11.85 	        0.0326 	            5.05
	 3.9 	          11.9 	        0.0328 	            5.03
	 4.0 	         11.95 	        0.0331 	             5.0
	 4.1 	         11.99 	        0.0332 	            4.96
	 4.2 	         12.03 	        0.0334 	            4.91
	 4.3 	         12.07 	        0.0336 	            4.86
	 4.4 	         12.11 	        0.0338 	            4.81
	 4.5 	         12.15 	         0.034 	            4.74
	 4.6 	         12.18 	        0.0341 	            4.67
	 4.7 	         12.22 	        0.0343 	             4.6
	 4.8 	         12.25 	        0.0345 	            4.52
	 4.9 	         12.28 	        0.0346 	            4.44
	 5.0 	         12.31 	        0.0347 	            4.35
	 5.1 	         12.34 	        0.0349 	            4.26
	 5.2 	         12.36 	         0.035 	            4.16
	 5.3 	         12.39 	        0.0351 	            4.06
	 5.4 	         12.42 	        0.0353 	            3.96
	 5.5 	         12.44 	        0.0354 	            3.86
	 5.6 	         12.46 	        0.0355 	            3.75
	 5.7 	         12.49 	        0.0356 	            3.65
	 5.8 	         12.51 	        0.0357 	            3.54
	 5.9 	         12.53 	        0.0358 	            3.43
	 6.0 	         12.55 	        0.0359 	            3.33
