#Data for producing points in Fig. 8 of Peroux & Howk ARAA 2020

#col 1	 mean redshift
#col 2	 negative error redshift
#col 3	 positive error redshift
#col 4	 log_10(Omega_Metals)
#col 5	 negative error on log_10(Omega_Metals)
#col 6	 positive error on log_10(Omega_Metals)
#col 7   Category of measurement (corresponding to legend)
#col 8	 Reference
z_mid errm_z errp_z logOmega_Metals errm_logOmega_Metals errp_logOmega_Metals	Category Reference
0.10  0.095 0.12  -4.47  0.12  0.13  Star  PerouxHowk2020
0.70  0.05  0.05  -5.04  0.16  0.31  Star  PerouxHowk2020
0.10  0.095 0.12  -5.00  0.13  0.13  ICMIGrM PerouxHowk2020
0.70  0.05  0.05  -5.28  0.15  0.15  ICMIGrM  PerouxHowk2020
0.60  0.50  0.50  -5.80  0.00  0.00  IonizedGas  Lehner2019
3.00  0.50  0.50  -6.29  0.20  0.27  IonizedGas  Fumagalli2016
3.00  0.50  0.50  -5.80  0.19  0.22  PartiallyIonizedGas  Fumagalli2016
5.85  0.55  0.55  -7.33  0.26  0.00  PartiallyIonizedGas  Becker2015
0.55  0.55  0.45  -5.27  0.12  0.14  NeutralGas  PerouxHowk2020
1.64  0.64  0.36  -5.38  0.09  0.09  NeutralGas  PerouxHowk2020
2.26  0.26  0.24  -5.49  0.11  0.10  NeutralGas  PerouxHowk2020
2.70  0.20  0.30   -5.3  0.31  0.21  NeutralGas  PerouxHowk2020
3.21  0.21  0.29  -5.66  0.12  0.11  NeutralGas  PerouxHowk2020
3.95  0.45  0.35  -5.64  0.17  0.13  NeutralGas  PerouxHowk2020
4.54  0.24  0.76  -5.83  0.21  0.13  NeutralGas  PerouxHowk2020
